Model,Classification Accuracy
Linear SVM,0.7574970011995202
RBF SVM,0.960015993602559
XGBoost,0.9710115953618552
Random Forest,0.975609756097561
Linear SVM With LDA,0.6567373050779688
RBF SVM With LDA,0.49300279888044785
XGBoost With LDA,0.7117153138744502
Random Forest With LDA,0.9338264694122351
Linear SVM With One-Hot,0.8324670131947222
RBF SVM With One-Hot,0.9744102359056377
XGBoost With One-Hot,0.9704118352658937
Random Forest With One-Hot,0.9762095161935226
